
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:60526        127.0.0.1:61901        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61903        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61904        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61905        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61906        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61908        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61913        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61914        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61915        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61917        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61934        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61937        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61939        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61941        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61944        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61945        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61948        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61949        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61953        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61957        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61958        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61959        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61960        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61962        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61963        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61965        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61966        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61967        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61968        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61971        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61973        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61974        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61975        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61979        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61980        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61989        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61990        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61991        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61992        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61995        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62014        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62015        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62016        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62017        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62018        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62028        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62029        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:62030        TIME_WAIT       0
